,FIPS,air_particulate,Year
2,1000,11,2019
3,1001,11.7,2019
4,1003,10.3,2019
5,1005,11.5,2019
6,1007,11.2,2019
7,1009,11.7,2019
8,1011,11.2,2019
9,1013,10.6,2019
10,1015,11.8,2019
11,1017,11.4,2019
12,1019,11.4,2019
13,1021,11.2,2019
14,1023,10.1,2019
15,1025,10.4,2019
16,1027,10.6,2019
17,1029,11,2019
18,1031,10.9,2019
19,1033,10.7,2019
20,1035,10.3,2019
21,1037,11,2019
22,1039,10.5,2019
23,1041,10.7,2019
24,1043,11.6,2019
25,1045,11,2019
26,1047,11.1,2019
27,1049,11.3,2019
28,1051,11.9,2019
29,1053,10.2,2019
30,1055,11.5,2019
31,1057,10.6,2019
32,1059,10.5,2019
33,1061,10.6,2019
34,1063,10.5,2019
35,1065,10.8,2019
36,1067,10.9,2019
37,1069,10.7,2019
38,1071,11,2019
39,1073,13.4,2019
40,1075,10.3,2019
41,1077,11,2019
42,1079,11.3,2019
43,1081,12.1,2019
44,1083,11.8,2019
45,1085,10.9,2019
46,1087,11.7,2019
47,1089,11.6,2019
48,1091,10.6,2019
49,1093,10.5,2019
50,1095,11.8,2019
51,1097,10.8,2019
52,1099,10.4,2019
53,1101,11.9,2019
54,1103,11.6,2019
55,1105,10.7,2019
56,1107,10.5,2019
57,1109,11,2019
58,1111,11,2019
59,1113,12.1,2019
60,1115,12,2019
61,1117,12,2019
62,1119,10.4,2019
63,1121,11.5,2019
64,1123,11.4,2019
65,1125,11.3,2019
66,1127,11.6,2019
67,1129,10.1,2019
68,1131,10.4,2019
69,1133,11,2019
70,2000,NA,2019
71,2013,NA,2019
72,2016,NA,2019
73,2020,NA,2019
74,2050,NA,2019
75,2060,NA,2019
76,2068,NA,2019
77,2070,NA,2019
78,2090,NA,2019
79,2100,NA,2019
80,2105,NA,2019
81,2110,NA,2019
82,2122,NA,2019
83,2130,NA,2019
84,2150,NA,2019
85,2158,NA,2019
86,2164,NA,2019
87,2170,NA,2019
88,2180,NA,2019
89,2185,NA,2019
90,2188,NA,2019
91,2195,NA,2019
92,2198,NA,2019
93,2220,NA,2019
94,2230,NA,2019
95,2240,NA,2019
96,2261,NA,2019
97,2275,NA,2019
98,2282,NA,2019
99,2290,NA,2019
100,4000,5.8,2019
101,4001,5.7,2019
102,4003,7.5,2019
103,4005,5.6,2019
104,4007,5.8,2019
105,4009,6,2019
106,4011,5.7,2019
107,4012,5.7,2019
108,4013,10.6,2019
109,4015,5.1,2019
110,4017,5.7,2019
111,4019,7.9,2019
112,4021,11.7,2019
113,4023,7.6,2019
114,4025,5.1,2019
115,4027,8,2019
116,5000,10,2019
117,5001,10,2019
118,5003,9.6,2019
119,5005,9.7,2019
120,5007,10.4,2019
121,5009,9.4,2019
122,5011,9.8,2019
123,5013,9.7,2019
124,5015,9.4,2019
125,5017,10,2019
126,5019,10.1,2019
127,5021,10.8,2019
128,5023,10.1,2019
129,5025,9.8,2019
130,5027,9.8,2019
131,5029,10.2,2019
132,5031,10.8,2019
133,5033,10.3,2019
134,5035,10.1,2019
135,5037,10.2,2019
136,5039,9.9,2019
137,5041,10,2019
138,5043,9.8,2019
139,5045,10.6,2019
140,5047,9.8,2019
141,5049,9.7,2019
142,5051,9.9,2019
143,5053,10,2019
144,5055,10.8,2019
145,5057,10.1,2019
146,5059,10.2,2019
147,5061,10,2019
148,5063,10.2,2019
149,5065,9.8,2019
150,5067,10.2,2019
151,5069,10.4,2019
152,5071,9.8,2019
153,5073,9.7,2019
154,5075,10.4,2019
155,5077,10.1,2019
156,5079,10,2019
157,5081,10.1,2019
158,5083,9.9,2019
159,5085,10.7,2019
160,5087,9.2,2019
161,5089,9.4,2019
162,5091,10.1,2019
163,5093,10.7,2019
164,5095,10.1,2019
165,5097,9.5,2019
166,5099,10,2019
167,5101,8.9,2019
168,5103,9.9,2019
169,5105,10,2019
170,5107,10.2,2019
171,5109,9.8,2019
172,5111,10.5,2019
173,5113,9.4,2019
174,5115,10.2,2019
175,5117,10.2,2019
176,5119,10.8,2019
177,5121,10.2,2019
178,5123,10.2,2019
179,5125,10.6,2019
180,5127,9.4,2019
181,5129,9.3,2019
182,5131,10.6,2019
183,5133,9.9,2019
184,5135,10,2019
185,5137,9.6,2019
186,5139,9.8,2019
187,5141,9.8,2019
188,5143,9.9,2019
189,5145,10.5,2019
190,5147,10.1,2019
191,5149,10.1,2019
192,6000,9.5,2019
193,6001,10.4,2019
194,6003,5.6,2019
195,6005,8.9,2019
196,6007,8.9,2019
197,6009,9,2019
198,6011,8.7,2019
199,6013,11.6,2019
200,6015,8.5,2019
201,6017,9.3,2019
202,6019,15.3,2019
203,6021,9.1,2019
204,6023,8.8,2019
205,6025,13.5,2019
206,6027,7.3,2019
207,6029,19.7,2019
208,6031,16.7,2019
209,6033,6.9,2019
210,6035,7.4,2019
211,6037,14.2,2019
212,6039,14,2019
213,6041,10.3,2019
214,6043,9.2,2019
215,6045,8.8,2019
216,6047,12,2019
217,6049,6.6,2019
218,6051,6.1,2019
219,6053,6.7,2019
220,6055,10.6,2019
221,6057,8.1,2019
222,6059,10.6,2019
223,6061,10.5,2019
224,6063,9.9,2019
225,6065,14.8,2019
226,6067,9.1,2019
227,6069,6.2,2019
228,6071,14.9,2019
229,6073,10.4,2019
230,6075,9.8,2019
231,6077,11.9,2019
232,6079,10.5,2019
233,6081,9.2,2019
234,6083,10.2,2019
235,6085,8.9,2019
236,6087,7.5,2019
237,6089,8.4,2019
238,6091,6.7,2019
239,6093,9.6,2019
240,6095,11,2019
241,6097,10.1,2019
242,6099,12.3,2019
243,6101,9.4,2019
244,6103,8.7,2019
245,6105,7.8,2019
246,6107,17.8,2019
247,6109,8.9,2019
248,6111,11.2,2019
249,6113,9.8,2019
250,6115,9.6,2019
251,8000,5.05,2019
252,8001,9.2,2019
253,8003,4.6,2019
254,8005,8.1,2019
255,8007,4.4,2019
256,8009,5.6,2019
257,8011,5.4,2019
258,8013,7.7,2019
259,8014,8.5,2019
260,8015,4.2,2019
261,8017,5.8,2019
262,8019,4.6,2019
263,8021,4.4,2019
264,8023,4.2,2019
265,8025,5.4,2019
266,8027,4.2,2019
267,8029,5.3,2019
268,8031,8.2,2019
269,8033,4.4,2019
270,8035,7,2019
271,8037,4.2,2019
272,8039,6.2,2019
273,8041,6.1,2019
274,8043,5,2019
275,8045,5.1,2019
276,8047,4.6,2019
277,8049,4.1,2019
278,8051,4.2,2019
279,8053,3.8,2019
280,8055,4.4,2019
281,8057,3.4,2019
282,8059,8.4,2019
283,8061,5.8,2019
284,8063,6.1,2019
285,8065,3.9,2019
286,8067,5,2019
287,8069,6.6,2019
288,8071,4.8,2019
289,8073,5.5,2019
290,8075,5.7,2019
291,8077,6.4,2019
292,8079,3.8,2019
293,8081,4.3,2019
294,8083,5.1,2019
295,8085,5,2019
296,8087,6.3,2019
297,8089,5.7,2019
298,8091,4.1,2019
299,8093,4.5,2019
300,8095,5.9,2019
301,8097,4,2019
302,8099,6.4,2019
303,8101,6,2019
304,8103,5.7,2019
305,8105,4.4,2019
306,8107,3.9,2019
307,8109,4.1,2019
308,8111,4,2019
309,8113,4.6,2019
310,8115,5.7,2019
311,8117,4.1,2019
312,8119,5,2019
313,8121,5.7,2019
314,8123,8.6,2019
315,8125,5.9,2019
316,9000,8,2019
317,9001,10,2019
318,9003,7.6,2019
319,9005,7.9,2019
320,9007,8.6,2019
321,9009,8.4,2019
322,9011,7.8,2019
323,9013,8.1,2019
324,9015,7.2,2019
325,10000,9.3,2019
326,10001,9.3,2019
327,10003,10,2019
328,10005,9.2,2019
329,11000,9.7,2019
330,11001,9.7,2019
331,12000,8.2,2019
332,12001,8.3,2019
333,12003,8.4,2019
334,12005,9.8,2019
335,12007,8.1,2019
336,12009,7.3,2019
337,12011,6.6,2019
338,12013,9.7,2019
339,12015,7.7,2019
340,12017,8.1,2019
341,12019,8.6,2019
342,12021,7.7,2019
343,12023,8.8,2019
344,12027,7.5,2019
345,12029,8.1,2019
346,12031,8.5,2019
347,12033,9.9,2019
348,12035,7.5,2019
349,12037,9.1,2019
350,12039,10.6,2019
351,12041,8.2,2019
352,12043,7.1,2019
353,12045,9.1,2019
354,12047,9.2,2019
355,12049,7.6,2019
356,12051,7.3,2019
357,12053,8.3,2019
358,12055,7.5,2019
359,12057,7.1,2019
360,12059,10.1,2019
361,12061,7,2019
362,12063,10.5,2019
363,12065,10,2019
364,12067,8.7,2019
365,12069,8.2,2019
366,12071,7.6,2019
367,12073,10.5,2019
368,12075,8.2,2019
369,12077,9.3,2019
370,12079,9.7,2019
371,12081,8.1,2019
372,12083,8.5,2019
373,12085,7.1,2019
374,12086,7.2,2019
375,12087,8,2019
376,12089,8.9,2019
377,12091,10.1,2019
378,12093,7.1,2019
379,12095,6.9,2019
380,12097,8.1,2019
381,12099,5.9,2019
382,12101,8.6,2019
383,12103,6.8,2019
384,12105,8.3,2019
385,12107,8,2019
386,12109,8.4,2019
387,12111,7,2019
388,12113,10.1,2019
389,12115,7.8,2019
390,12117,7.7,2019
391,12119,8.3,2019
392,12121,9.1,2019
393,12123,9,2019
394,12125,8.1,2019
395,12127,7.6,2019
396,12129,9.7,2019
397,12131,10.1,2019
398,12133,10,2019
399,13000,10.9,2019
400,13001,10.6,2019
401,13003,10.4,2019
402,13005,10.4,2019
403,13007,10.8,2019
404,13009,11.4,2019
405,13011,10.4,2019
406,13013,11.1,2019
407,13015,11.2,2019
408,13017,10.7,2019
409,13019,10.8,2019
410,13021,11.3,2019
411,13023,11,2019
412,13025,9.5,2019
413,13027,10.7,2019
414,13029,10.3,2019
415,13031,10.6,2019
416,13033,11,2019
417,13035,11.3,2019
418,13037,10.6,2019
419,13039,9,2019
420,13043,10.5,2019
421,13045,11.1,2019
422,13047,11,2019
423,13049,8.9,2019
424,13051,9.9,2019
425,13053,11.5,2019
426,13055,10.9,2019
427,13057,11.2,2019
428,13059,11,2019
429,13061,10.5,2019
