metro_nonmetro,county_name,State,geoId,value,whole,fips2,FIPS,County_Name,Population_2010,RUCC_2013,Description,OMB_code,category,rate
Metropolitan,Autauga County,AL,us-al-001,Whole county is shortage area,1,1,1001,Autauga County,54571,2,"Metro - Counties in metro areas of 250,000 to 1 million population",3,Metropolitan desert,4
Metropolitan,Baldwin County,AL,us-al-003,Part of county is shortage area,0,3,1003,Baldwin County,182265,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Not a desert,1
Nonmetropolitan,Barbour County,AL,us-al-005,Part of county is shortage area,0,5,1005,Barbour County,27457,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Not a desert,1
Metropolitan,Bibb County,AL,us-al-007,Whole county is shortage area,1,7,1007,Bibb County,22915,1,Metro - Counties in metro areas of 1 million population or more,3,Metropolitan desert,4
Metropolitan,Blount County,AL,us-al-009,Whole county is shortage area,1,9,1009,Blount County,57322,1,Metro - Counties in metro areas of 1 million population or more,3,Metropolitan desert,4
Nonmetropolitan,Bullock County,AL,us-al-011,Whole county is shortage area,1,11,1011,Bullock County,10914,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Micropolitan desert,3
Nonmetropolitan,Butler County,AL,us-al-013,Whole county is shortage area,1,13,1013,Butler County,20947,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Micropolitan desert,3
Metropolitan,Calhoun County,AL,us-al-015,Part of county is shortage area,0,15,1015,Calhoun County,118572,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Not a desert,1
Nonmetropolitan,Chambers County,AL,us-al-017,Part of county is shortage area,0,17,1017,Chambers County,34215,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Not a desert,1
Nonmetropolitan,Cherokee County,AL,us-al-019,Part of county is shortage area,0,19,1019,Cherokee County,25989,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Not a desert,1
Metropolitan,Chilton County,AL,us-al-021,Whole county is shortage area,1,21,1021,Chilton County,43643,1,Metro - Counties in metro areas of 1 million population or more,3,Metropolitan desert,4
Nonmetropolitan,Choctaw County,AL,us-al-023,Whole county is shortage area,1,23,1023,Choctaw County,13859,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",1,rural desert,2
Nonmetropolitan,Clarke County,AL,us-al-025,Part of county is shortage area,0,25,1025,Clarke County,25833,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",2,Not a desert,1
Nonmetropolitan,Clay County,AL,us-al-027,Whole county is shortage area,1,27,1027,Clay County,13932,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",1,rural desert,2
Nonmetropolitan,Cleburne County,AL,us-al-029,Whole county is shortage area,1,29,1029,Cleburne County,14972,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1,rural desert,2
Nonmetropolitan,Coffee County,AL,us-al-031,Whole county is shortage area,1,31,1031,Coffee County,49948,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",2,Micropolitan desert,3
Metropolitan,Colbert County,AL,us-al-033,Part of county is shortage area,0,33,1033,Colbert County,54428,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Not a desert,1
Nonmetropolitan,Conecuh County,AL,us-al-035,Whole county is shortage area,1,35,1035,Conecuh County,13228,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",2,Micropolitan desert,3
Nonmetropolitan,Coosa County,AL,us-al-037,Whole county is shortage area,1,37,1037,Coosa County,11539,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1,rural desert,2
Nonmetropolitan,Covington County,AL,us-al-039,Part of county is shortage area,0,39,1039,Covington County,37765,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Not a desert,1
Nonmetropolitan,Crenshaw County,AL,us-al-041,Whole county is shortage area,1,41,1041,Crenshaw County,13906,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1,rural desert,2
Nonmetropolitan,Cullman County,AL,us-al-043,Whole county is shortage area,1,43,1043,Cullman County,80406,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",2,Micropolitan desert,3
Nonmetropolitan,Dale County,AL,us-al-045,Whole county is shortage area,1,45,1045,Dale County,50251,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",2,Micropolitan desert,3
Nonmetropolitan,Dallas County,AL,us-al-047,Whole county is shortage area,1,47,1047,Dallas County,43820,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",2,Micropolitan desert,3
Nonmetropolitan,DeKalb County,AL,us-al-049,Whole county is shortage area,1,49,1049,DeKalb County,71109,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Micropolitan desert,3
Metropolitan,Elmore County,AL,us-al-051,Part of county is shortage area,0,51,1051,Elmore County,79303,2,"Metro - Counties in metro areas of 250,000 to 1 million population",3,Not a desert,1
Nonmetropolitan,Escambia County,AL,us-al-053,Part of county is shortage area,0,53,1053,Escambia County,38319,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Not a desert,1
Metropolitan,Etowah County,AL,us-al-055,Part of county is shortage area,0,55,1055,Etowah County,104430,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Not a desert,1
Nonmetropolitan,Fayette County,AL,us-al-057,Whole county is shortage area,1,57,1057,Fayette County,17241,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Micropolitan desert,3
Nonmetropolitan,Franklin County,AL,us-al-059,Part of county is shortage area,0,59,1059,Franklin County,31704,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Not a desert,1
Metropolitan,Geneva County,AL,us-al-061,Whole county is shortage area,1,61,1061,Geneva County,26790,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Metropolitan desert,4
Metropolitan,Greene County,AL,us-al-063,Whole county is shortage area,1,63,1063,Greene County,9045,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1,rural desert,2
Metropolitan,Hale County,AL,us-al-065,Whole county is shortage area,1,65,1065,Hale County,15760,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Metropolitan desert,4
Metropolitan,Henry County,AL,us-al-067,Whole county is shortage area,1,67,1067,Henry County,17302,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Metropolitan desert,4
Metropolitan,Houston County,AL,us-al-069,Whole county is shortage area,1,69,1069,Houston County,101547,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Metropolitan desert,4
Nonmetropolitan,Jackson County,AL,us-al-071,Part of county is shortage area,0,71,1071,Jackson County,53227,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",2,Not a desert,1
Metropolitan,Jefferson County,AL,us-al-073,Part of county is shortage area,0,73,1073,Jefferson County,658466,1,Metro - Counties in metro areas of 1 million population or more,3,Not a desert,1
Nonmetropolitan,Lamar County,AL,us-al-075,Whole county is shortage area,1,75,1075,Lamar County,14564,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1,rural desert,2
Metropolitan,Lauderdale County,AL,us-al-077,Part of county is shortage area,0,77,1077,Lauderdale County,92709,3,"Metro - Counties in metro areas of fewer than 250,000 population",3,Not a desert,1
