metro_ metro,county_name,state_abbr,geoId,value,FIPS,Population_2010,RUCC_2013,Description,rural,category,rate
Nonmetropolitan,Wade Hampton Census Area,AK,us-ak-270,Whole county is shortage area,2270,7459,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",1,rural desert,2
Metropolitan,Fillmore County,MN,us-mn-045,Whole county is shortage area,27045,20866,3,"Counties in metro areas of fewer than 250,000 population",0,urban desert,3
Metropolitan,Anchorage Municipality,AK,us-ak-020,Part of county is shortage area,2020,291826,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Oliver County,ND,us-nd-065,Whole county is shortage area,38065,1846,3,"Counties in metro areas of fewer than 250,000 population",0,urban desert,3
Metropolitan,Matanuska-Susitna Borough,AK,us-ak-170,Part of county is shortage area,2170,88995,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Calhoun County,SC,us-sc-017,Whole county is shortage area,45017,15175,2,"Counties in metro areas of 250,000 to 1 million population",0,urban desert,3
Metropolitan,Baldwin County,AL,us-al-003,Part of county is shortage area,1003,182265,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Clarendon County,SC,us-sc-027,Whole county is shortage area,45027,34971,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
Metropolitan,Jasper County,SC,us-sc-053,Whole county is shortage area,45053,24777,3,"Counties in metro areas of fewer than 250,000 population",0,urban desert,3
Metropolitan,Calhoun County,AL,us-al-015,Part of county is shortage area,1015,118572,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Lancaster County,SC,us-sc-057,Whole county is shortage area,45057,76652,1,Counties in metro areas of 1 million population or more,0,urban desert,3
Metropolitan,Colbert County,AL,us-al-033,Part of county is shortage area,1033,54428,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Elmore County,AL,us-al-051,Part of county is shortage area,1051,79303,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Etowah County,AL,us-al-055,Part of county is shortage area,1055,104430,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
 metropolitan,North Slope Borough,AK,us-ak-185,Whole county is shortage area,2185,9430,7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",0,urban desert,3
Metropolitan,Greene County,AL,us-al-063,Whole county is shortage area,1063,9045,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1,rural desert,2
 metropolitan,Mercer County,ND,us-nd-057,Whole county is shortage area,38057,8424,7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",0,urban desert,3
 metropolitan,Pierce County,ND,us-nd-069,Whole county is shortage area,38069,4357,7,"Urban population of 2,500 to 19,999, not adjacent to a metro area",0,urban desert,3
 metropolitan,Sioux County,ND,us-nd-085,Whole county is shortage area,38085,4153,3,"Counties in metro areas of fewer than 250,000 population",0,urban desert,3
Metropolitan,Jefferson County,AL,us-al-073,Part of county is shortage area,1073,658466,1,Metro - Counties in metro areas of 1 million population or more,0,Not a desert,1
Metropolitan,Lauderdale County,AL,us-al-077,Part of county is shortage area,1077,92709,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
 metropolitan,Walsh County,ND,us-nd-099,Whole county is shortage area,38099,11119,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
 metropolitan,Allendale County,SC,us-sc-005,Whole county is shortage area,45005,10419,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
Metropolitan,Limestone County,AL,us-al-083,Part of county is shortage area,1083,82782,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Lowndes County,AL,us-al-085,Part of county is shortage area,1085,11299,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Madison County,AL,us-al-089,Part of county is shortage area,1089,334811,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Mobile County,AL,us-al-097,Part of county is shortage area,1097,412992,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Montgomery County,AL,us-al-101,Part of county is shortage area,1101,229363,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
 metropolitan,Barnwell County,SC,us-sc-011,Whole county is shortage area,45011,22621,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
 metropolitan,Dillon County,SC,us-sc-033,Whole county is shortage area,45033,32062,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
Metropolitan,Russell County,AL,us-al-113,Part of county is shortage area,1113,52947,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
 metropolitan,Hampton County,SC,us-sc-049,Whole county is shortage area,45049,21090,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
 metropolitan,Marlboro County,SC,us-sc-069,Whole county is shortage area,45069,28933,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
Metropolitan,Tuscaloosa County,AL,us-al-125,Part of county is shortage area,1125,194656,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Washington County,AL,us-al-129,Whole county is shortage area,1129,17581,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",1,rural desert,2
Metropolitan,Benton County,AR,us-ar-007,Part of county is shortage area,5007,221339,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
 metropolitan,La Salle County,TX,us-tx-283,Whole county is shortage area,48283,6886,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
Metropolitan,Craighead County,AR,us-ar-031,Part of county is shortage area,5031,96443,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Crawford County,AR,us-ar-033,Part of county is shortage area,5033,61948,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Crittenden County,AR,us-ar-035,Part of county is shortage area,5035,50902,1,Metro - Counties in metro areas of 1 million population or more,0,Not a desert,1
Metropolitan,Faulkner County,AR,us-ar-045,Part of county is shortage area,5045,113237,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Franklin County,AR,us-ar-047,Part of county is shortage area,5047,18125,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",0,Not a desert,1
Metropolitan,Garland County,AR,us-ar-051,None of county is shortage area,5051,96024,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
 metropolitan,Shan  County,SD,us-sd-113,Whole county is shortage area,46113,13586,6,"Urban population of 2,500 to 19,999, adjacent to a metro area",0,urban desert,3
Metropolitan,Jefferson County,AR,us-ar-069,Part of county is shortage area,5069,77435,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Lincoln County,AR,us-ar-079,Part of county is shortage area,5079,14134,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Butte County,ID,us-id-023,Whole county is shortage area,16023,2891,3,"Counties in metro areas of fewer than 250,000 population",0,urban desert,3
Metropolitan,Lonoke County,AR,us-ar-085,Part of county is shortage area,5085,68356,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Fairfield County,SC,us-sc-039,Whole county is shortage area,45039,23956,2,"Counties in metro areas of 250,000 to 1 million population",0,urban desert,3
Metropolitan,Miller County,AR,us-ar-091,None of county is shortage area,5091,43462,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Perry County,AR,us-ar-105,Part of county is shortage area,5105,10445,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Poinsett County,AR,us-ar-111,Part of county is shortage area,5111,24583,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Pulaski County,AR,us-ar-119,Part of county is shortage area,5119,382748,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Saline County,AR,us-ar-125,Part of county is shortage area,5125,107118,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Sebastian County,AR,us-ar-131,Part of county is shortage area,5131,125744,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Washington County,AR,us-ar-143,Part of county is shortage area,5143,203065,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Cochise County,AZ,us-az-003,Part of county is shortage area,4003,131346,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Turner County,SD,us-sd-125,Whole county is shortage area,46125,8347,3,"Counties in metro areas of fewer than 250,000 population",0,urban desert,3
Metropolitan,Maricopa County,AZ,us-az-013,Part of county is shortage area,4013,3817117,1,Metro - Counties in metro areas of 1 million population or more,0,Not a desert,1
Metropolitan,Mohave County,AZ,us-az-015,Part of county is shortage area,4015,200186,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Pima County,AZ,us-az-019,Part of county is shortage area,4019,980263,2,"Metro - Counties in metro areas of 250,000 to 1 million population",0,Not a desert,1
Metropolitan,Pinal County,AZ,us-az-021,Part of county is shortage area,4021,375770,1,Metro - Counties in metro areas of 1 million population or more,0,Not a desert,1
Metropolitan,Yavapai County,AZ,us-az-025,Part of county is shortage area,4025,211033,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Yuma County,AZ,us-az-027,Part of county is shortage area,4027,195751,3,"Metro - Counties in metro areas of fewer than 250,000 population",0,Not a desert,1
Metropolitan,Alameda County,CA,us-ca-001,Part of county is shortage area,6001,1510271,1,Metro - Counties in metro areas of 1 million population or more,0,Not a desert,1
