,FIPS,year,diff
1,11001,2019,NA
2,15001,2019,NA
3,15003,2019,NA
4,15005,2019,NA
5,15007,2019,NA
6,15009,2019,NA
7,51678,2019,NA
8,2013,2019,NA
9,2016,2019,NA
10,2020,2019,NA
11,2050,2019,NA
12,2060,2019,NA
13,2068,2019,NA
14,2070,2019,NA
15,2090,2019,NA
16,2100,2019,NA
17,2105,2019,NA
18,2110,2019,NA
19,2122,2019,NA
20,2130,2019,NA
21,2150,2019,NA
22,2158,2019,NA
23,2164,2019,NA
24,2170,2019,NA
25,2180,2019,NA
26,2185,2019,NA
27,2188,2019,NA
28,2195,2019,NA
29,2198,2019,NA
30,2220,2019,NA
31,2230,2019,NA
32,2240,2019,NA
33,2261,2019,NA
34,2275,2019,NA
35,2282,2019,NA
36,2290,2019,NA
37,1001,2019,7.7
38,1003,2019,7.2
39,1005,2019,8.5
40,1007,2019,6.9
41,1009,2019,11.3
42,1011,2019,8.4
43,1013,2019,7.6
44,1015,2019,10.1
45,1017,2019,6.8
46,1019,2019,9.6
47,1021,2019,7.4
48,1023,2019,7.7
49,1025,2019,7.1
50,1027,2019,8.5
51,1029,2019,9.4
52,1031,2019,8
53,1033,2019,8.7
54,1035,2019,8.2
55,1037,2019,7.9
56,1039,2019,7.8
57,1041,2019,7.3
58,1043,2019,10.6
59,1045,2019,8.2
60,1047,2019,7.1
61,1049,2019,9.3
62,1051,2019,7.6
63,1053,2019,7.6
64,1055,2019,10.6
65,1057,2019,7
66,1059,2019,8.3
67,1061,2019,8
68,1063,2019,7
69,1065,2019,6.5
70,1067,2019,8.3
71,1069,2019,8
72,1071,2019,9.6
73,1073,2019,9.1
74,1075,2019,6.4
75,1077,2019,9.2
76,1079,2019,9.2
77,1081,2019,6.5
78,1083,2019,9.8
79,1085,2019,7.5
80,1087,2019,7.2
81,1089,2019,9.6
82,1091,2019,7
83,1093,2019,7.7
84,1095,2019,10.2
85,1097,2019,7.2
86,1099,2019,8.1
87,1101,2019,7.6
88,1103,2019,10
89,1105,2019,6.8
90,1107,2019,7.1
91,1109,2019,8.1
92,1111,2019,7.7
93,1113,2019,7.1
94,1115,2019,10.7
95,1117,2019,8.4
96,1119,2019,7.5
97,1121,2019,9.3
98,1123,2019,7.5
99,1125,2019,6.9
100,1127,2019,8.6
101,1129,2019,6.8
102,1131,2019,7.2
103,1133,2019,9
104,4001,2019,-2.2
105,4003,2019,2.6
106,4005,2019,-2.1
107,4007,2019,-0.3
108,4009,2019,2.2
109,4011,2019,2.5
110,4012,2019,-3.3
111,4013,2019,-1.2
112,4015,2019,-3.2
113,4017,2019,-2.2
114,4019,2019,1.2
115,4021,2019,0.7
116,4023,2019,2.1
117,4025,2019,-2.3
118,4027,2019,-2
119,5001,2019,7.2
120,5003,2019,6.2
121,5005,2019,2.9
122,5007,2019,2.3
123,5009,2019,2
124,5011,2019,6.2
125,5013,2019,5.6
126,5015,2019,2.2
127,5017,2019,5.4
128,5019,2019,5.3
129,5021,2019,6.5
130,5023,2019,7.5
131,5025,2019,5.8
132,5027,2019,4.9
133,5029,2019,4.5
134,5031,2019,6.1
135,5033,2019,2.8
136,5035,2019,6.8
137,5037,2019,7.2
138,5039,2019,5.6
139,5041,2019,6.9
140,5043,2019,6
141,5045,2019,5.8
142,5047,2019,2.7
143,5049,2019,4.3
144,5051,2019,5.2
145,5053,2019,5.7
146,5055,2019,6
147,5057,2019,4.8
148,5059,2019,5.5
149,5061,2019,4.7
150,5063,2019,6.6
151,5065,2019,4.7
152,5067,2019,6.4
153,5069,2019,6.1
154,5071,2019,3
155,5073,2019,5.1
156,5075,2019,5.6
157,5077,2019,7.1
158,5079,2019,6.1
159,5081,2019,5.2
160,5083,2019,3.1
161,5085,2019,6.9
162,5087,2019,2.3
163,5089,2019,2.4
164,5091,2019,5.4
165,5093,2019,6.6
166,5095,2019,7.1
167,5097,2019,4.5
168,5099,2019,4.9
169,5101,2019,2.8
170,5103,2019,4.9
171,5105,2019,4.4
172,5107,2019,7.5
173,5109,2019,4.6
174,5111,2019,6.6
175,5113,2019,4.3
176,5115,2019,3.7
177,5117,2019,6.7
178,5119,2019,5.7
179,5121,2019,5.5
180,5123,2019,7.2
181,5125,2019,5.4
182,5127,2019,3.7
183,5129,2019,4.7
184,5131,2019,3.3
185,5133,2019,5.1
186,5135,2019,5.3
187,5137,2019,5.9
188,5139,2019,5.6
189,5141,2019,5.8
190,5143,2019,2.2
191,5145,2019,8.1
192,5147,2019,6.8
193,5149,2019,3.7
194,6001,2019,2
195,6003,2019,-1
196,6005,2019,0
197,6007,2019,-2.3
198,6009,2019,0.6
199,6011,2019,-2.5
200,6013,2019,2.3
201,6015,2019,-2.6
202,6017,2019,-1.2
203,6019,2019,-0.5
204,6021,2019,-2.5
205,6023,2019,-2.2
206,6025,2019,-1.4
207,6027,2019,-1.6
208,6029,2019,0.5
209,6031,2019,-1.7
210,6033,2019,-1.3
211,6035,2019,-6.5
212,6037,2019,2.6
213,6039,2019,-0.4
214,6041,2019,3.4
215,6043,2019,0.2
216,6045,2019,-2.5
217,6047,2019,0.4
218,6049,2019,-6.5
219,6051,2019,-1.5
220,6053,2019,0.7
221,6055,2019,0.6
222,6057,2019,-2.4
223,6059,2019,3.5
224,6061,2019,-1.9
225,6063,2019,-4.8
226,6065,2019,-0.5
227,6067,2019,-1.2
228,6069,2019,1.3
229,6071,2019,-1.4
230,6073,2019,0.7
231,6075,2019,4.2
232,6077,2019,0
233,6079,2019,0.5
234,6081,2019,3.5
235,6083,2019,3.2
236,6085,2019,2.5
237,6087,2019,3.9
238,6089,2019,-4.4
239,6091,2019,-3.1
240,6093,2019,-5.4
241,6095,2019,0.4
242,6097,2019,1.4
243,6099,2019,0.9
244,6101,2019,-2.5
245,6103,2019,-2.6
246,6105,2019,-3.5
247,6107,2019,-0.6
248,6109,2019,0.3
249,6111,2019,3.9
250,6113,2019,-1.5
251,6115,2019,-2.1
252,8001,2019,-3.3
253,8003,2019,-3.8
254,8005,2019,-3.8
255,8007,2019,-3.9
256,8009,2019,-4.2
257,8011,2019,-6
258,8013,2019,-2.4
259,8014,2019,-2.7
260,8015,2019,-5.1
261,8017,2019,-5.8
262,8019,2019,-3
263,8021,2019,-3.4
264,8023,2019,-2.7
265,8025,2019,-4.5
266,8027,2019,-4
267,8029,2019,-6
268,8031,2019,-3.2
269,8033,2019,-3.7
270,8035,2019,-4.5
271,8037,2019,-4.8
272,8039,2019,-4.5
273,8041,2019,-5.4
274,8043,2019,-5.7
275,8045,2019,-4.8
276,8047,2019,-3.3
277,8049,2019,-3.1
278,8051,2019,-5.2
279,8053,2019,-3.1
280,8055,2019,-3.7
281,8057,2019,-4
282,8059,2019,-3.4
283,8061,2019,-5.9
284,8063,2019,-4.5
285,8065,2019,-3.8
286,8067,2019,-3.7
287,8069,2019,-3
288,8071,2019,-4.1
289,8073,2019,-4.7
290,8075,2019,-4.1
291,8077,2019,-5.4
292,8079,2019,-3.4
293,8081,2019,-4
294,8083,2019,-3.8
295,8085,2019,-4.8
296,8087,2019,-3.8
297,8089,2019,-4.5
298,8091,2019,-3.7
299,8093,2019,-4.3
300,8095,2019,-3.2
301,8097,2019,-5
302,8099,2019,-5
303,8101,2019,-4.2
304,8103,2019,-3.9
305,8105,2019,-3.6
306,8107,2019,-4.5
307,8109,2019,-5
308,8111,2019,-2.5
309,8113,2019,-3.7
310,8115,2019,-3.7
311,8117,2019,-3.5
312,8119,2019,-5.4
313,8121,2019,-3.6
314,8123,2019,-3.1
315,8125,2019,-3
316,9001,2019,10.5
317,9003,2019,8.3
318,9005,2019,8.6
319,9007,2019,8.7
320,9009,2019,8.9
321,9011,2019,8.9
322,9013,2019,8.4
323,9015,2019,8.1
324,10001,2019,10.4
325,10003,2019,10.4
326,10005,2019,10.6
327,12001,2019,8.1
328,12003,2019,7.9
329,12005,2019,8.6
330,12007,2019,7.9
331,12009,2019,6.7
332,12011,2019,6
333,12013,2019,8.3
334,12015,2019,7.1
335,12017,2019,8.1
336,12019,2019,8.6
337,12021,2019,5.8
338,12023,2019,7.5
339,12027,2019,7
340,12029,2019,8
341,12031,2019,9.1
342,12033,2019,7
343,12035,2019,8.6
344,12037,2019,8.3
345,12039,2019,7.9
346,12041,2019,7.9
347,12043,2019,6.4
348,12045,2019,8.6
349,12047,2019,8.2
350,12049,2019,7.2
351,12051,2019,6
352,12053,2019,8
353,12055,2019,6.5
354,12057,2019,8.1
355,12059,2019,7.8
356,12061,2019,6.4
357,12063,2019,8
358,12065,2019,7.8
359,12067,2019,7.9
360,12069,2019,8
361,12071,2019,6.4
362,12073,2019,7.9
363,12075,2019,8.1
364,12077,2019,8.4
365,12079,2019,8
366,12081,2019,7.6
367,12083,2019,8.3
368,12085,2019,6.1
369,12086,2019,6.2
370,12087,2019,6.3
371,12089,2019,9.3
372,12091,2019,6.8
373,12093,2019,6.3
374,12095,2019,7.8
375,12097,2019,7.3
376,12099,2019,5.8
377,12101,2019,7.8
378,12103,2019,7.1
379,12105,2019,7.6
380,12107,2019,8.6
381,12109,2019,9.4
382,12111,2019,6.1
383,12113,2019,6.2
384,12115,2019,7.2
385,12117,2019,7.3
386,12119,2019,8.1
387,12121,2019,7.8
388,12123,2019,8
389,12125,2019,7.5
390,12127,2019,7.6
391,12129,2019,8.1
392,12131,2019,7.6
393,12133,2019,7.8
394,13001,2019,8
395,13003,2019,7.8
396,13005,2019,7.6
397,13007,2019,7.6
398,13009,2019,8.4
399,13011,2019,7.9
400,13013,2019,7.4
401,13015,2019,9.4
402,13017,2019,8.4
403,13019,2019,7.3
404,13021,2019,8.4
405,13023,2019,8.4
406,13025,2019,9.3
407,13027,2019,6.9
408,13029,2019,9.1
409,13031,2019,8.5
410,13033,2019,9.2
411,13035,2019,8.2
412,13037,2019,8.5
413,13039,2019,9.9
414,13043,2019,8.7
415,13045,2019,8.8
416,13047,2019,9.7
417,13049,2019,9.1
418,13051,2019,8.7
419,13053,2019,7.3
420,13055,2019,9
421,13057,2019,8.7
422,13059,2019,6.8
423,13061,2019,8.4
424,13063,2019,7.9
425,13065,2019,8.4
426,13067,2019,8.7
427,13069,2019,8.2
428,13071,2019,6.4
429,13073,2019,8.4
430,13075,2019,6.7
431,13077,2019,7.9
432,13079,2019,8.3
433,13081,2019,8.5
434,13083,2019,9.5
435,13085,2019,8
436,13087,2019,7.7
437,13089,2019,8
438,13091,2019,8.4
439,13093,2019,8.6
440,13095,2019,8
441,13097,2019,8.8
442,13099,2019,8.1
443,13101,2019,8.4
444,13103,2019,8.1
445,13105,2019,5.5
446,13107,2019,8.9
447,13109,2019,8.7
448,13111,2019,8.8
449,13113,2019,7.9
450,13115,2019,9.4
451,13117,2019,8
452,13119,2019,7.4
453,13121,2019,8.3
454,13123,2019,8.7
455,13125,2019,8.6
456,13127,2019,9.6
457,13129,2019,9
458,13131,2019,7.2
459,13133,2019,7
460,13135,2019,7.8
461,13137,2019,8.7
462,13139,2019,7.8
463,13141,2019,7.9
464,13143,2019,9.6
465,13145,2019,6.6
466,13147,2019,6.8
467,13149,2019,7.4
468,13151,2019,7.9
469,13153,2019,8.4
470,13155,2019,8
471,13157,2019,7.4
472,13159,2019,8.6
473,13161,2019,8.2
474,13163,2019,9
475,13165,2019,9
476,13167,2019,8.9
477,13169,2019,8.5
478,13171,2019,8
479,13173,2019,7.8
480,13175,2019,8.6
481,13177,2019,8.3
482,13179,2019,9.3
483,13181,2019,6.8
484,13183,2019,9.1
485,13185,2019,7.7
486,13187,2019,7.8
487,13189,2019,8
488,13191,2019,9.2
489,13193,2019,8.2
490,13195,2019,6.4
491,13197,2019,7.6
492,13199,2019,7.1
493,13201,2019,7.8
494,13205,2019,6.9
495,13207,2019,8.4
496,13209,2019,8.4
497,13211,2019,7.8
498,13213,2019,9.2
499,13215,2019,6.9
500,13217,2019,8.3
501,13219,2019,7.1
502,13221,2019,6.1
503,13223,2019,9.3
504,13225,2019,8.4
505,13227,2019,8.5
506,13229,2019,8.3
507,13231,2019,7.6
508,13233,2019,9.8
509,13235,2019,8.5
510,13237,2019,8.2
511,13239,2019,8.2
512,13241,2019,9.5
513,13243,2019,8.4
514,13245,2019,8.9
515,13247,2019,8
516,13249,2019,8
517,13251,2019,8.4
518,13253,2019,8
519,13255,2019,7.8
520,13257,2019,8.1
521,13259,2019,7.8
522,13261,2019,8.2
523,13263,2019,7
524,13265,2019,6.6
525,13267,2019,8.6
526,13269,2019,7.8
527,13271,2019,8.6
528,13273,2019,8.4
529,13275,2019,6.8
530,13277,2019,7.1
531,13279,2019,8.4
532,13281,2019,9.2
533,13283,2019,8.7
534,13285,2019,6.6
535,13287,2019,8
536,13289,2019,8.5
537,13291,2019,8.4
538,13293,2019,7.7
539,13295,2019,9.2
540,13297,2019,7.7
541,13299,2019,8.3
542,13301,2019,7.8
543,13303,2019,8.8
544,13305,2019,8.9
545,13307,2019,7.9
546,13309,2019,8.5
547,13311,2019,8.2
548,13313,2019,9.4
549,13315,2019,8.4
550,13317,2019,6
551,13319,2019,8.6
552,13321,2019,7.4
553,16001,2019,-10.7
554,16003,2019,-9.5
555,16005,2019,-7.8
556,16007,2019,-8.4
557,16009,2019,-4.9
558,16011,2019,-8.6
559,16013,2019,-11.7
560,16015,2019,-11.3
561,16017,2019,-7.3
562,16019,2019,-8.5
563,16021,2019,-8.4
564,16023,2019,-11.6
565,16025,2019,-12.7
566,16027,2019,-9.4
567,16029,2019,-8.8
568,16031,2019,-8.3
569,16033,2019,-10.5
570,16035,2019,-6.3
571,16037,2019,-12
572,16039,2019,-10.5
573,16041,2019,-8.5
574,16043,2019,-10
575,16045,2019,-10.7
576,16047,2019,-10.9
577,16049,2019,-8.2
578,16051,2019,-9.9
579,16053,2019,-9
580,16055,2019,-5.7
581,16057,2019,-3.9
582,16059,2019,-11
583,16061,2019,-7.2
584,16063,2019,-9.7
585,16065,2019,-8.8
586,16067,2019,-9.2
587,16069,2019,-5.6
588,16071,2019,-8.9
589,16073,2019,-8.6
590,16075,2019,-9.6
591,16077,2019,-7.8
592,16079,2019,-6.2
593,16081,2019,-8.9
594,16083,2019,-8.9
595,16085,2019,-10
596,16087,2019,-9.7
597,17001,2019,2.8
598,17003,2019,5.1
599,17005,2019,6.6
600,17007,2019,5.9
601,17009,2019,2.9
602,17011,2019,6
603,17013,2019,3.7
604,17015,2019,5.9
605,17017,2019,4.3
606,17019,2019,8
607,17021,2019,5.8
608,17023,2019,8.7
609,17025,2019,8.5
610,17027,2019,7
611,17029,2019,7.6
612,17031,2019,6
613,17033,2019,10
614,17035,2019,7.9
615,17037,2019,6
616,17039,2019,8.1
617,17041,2019,7.9
618,17043,2019,5.8
619,17045,2019,8
620,17047,2019,8.8
621,17049,2019,7.9
622,17051,2019,7.1
623,17053,2019,8.5
624,17055,2019,6.3
625,17057,2019,3.7
626,17059,2019,6.7
627,17061,2019,4.3
628,17063,2019,7.2
629,17065,2019,7
630,17067,2019,2.8
631,17069,2019,6.7
632,17071,2019,3.1
633,17073,2019,4.7
634,17075,2019,8.4
635,17077,2019,5.9
636,17079,2019,8.8
637,17081,2019,7.2
638,17083,2019,3.8
639,17085,2019,4.9
640,17087,2019,5.8
641,17089,2019,6
642,17091,2019,7.7
643,17093,2019,6.2
644,17095,2019,4
645,17097,2019,5.4
646,17099,2019,7.2
647,17101,2019,10
648,17103,2019,6.1
649,17105,2019,8.4
650,17107,2019,6.6
651,17109,2019,3.2
652,17111,2019,6.1
653,17113,2019,9
654,17115,2019,7.2
655,17117,2019,4.7
656,17119,2019,5
657,17121,2019,7.7
658,17123,2019,7.1
659,17125,2019,4.6
660,17127,2019,5.9
661,17129,2019,4.7
662,17131,2019,3.7
663,17133,2019,6.2
664,17135,2019,5.5
665,17137,2019,4.9
666,17139,2019,7.5
667,17141,2019,5.9
668,17143,2019,5.4
669,17145,2019,6.5
670,17147,2019,8
671,17149,2019,3.1
672,17151,2019,6.1
673,17153,2019,5.3
674,17155,2019,6.8
675,17157,2019,6.6
676,17159,2019,9.2
677,17161,2019,4.3
678,17163,2019,5.8
679,17165,2019,6.4
680,17167,2019,4.9
681,17169,2019,3.4
682,17171,2019,4
683,17173,2019,7.3
684,17175,2019,5.8
685,17177,2019,6
686,17179,2019,6.8
687,17181,2019,5.5
688,17183,2019,7.6
689,17185,2019,9.1
690,17187,2019,2.9
691,17189,2019,6.9
692,17191,2019,8.2
693,17193,2019,7.2
694,17195,2019,5.7
695,17197,2019,6.4
696,17199,2019,6.1
697,17201,2019,6
698,17203,2019,8.3
699,18001,2019,10.2
700,18003,2019,9.5
701,18005,2019,9.5
702,18007,2019,8
703,18009,2019,10.5
704,18011,2019,8.9
705,18013,2019,9.4
706,18015,2019,8.6
707,18017,2019,9.3
708,18019,2019,9.7
709,18021,2019,9.6
710,18023,2019,8.8
711,18025,2019,9
712,18027,2019,10.3
713,18029,2019,11
714,18031,2019,9.7
715,18033,2019,9.4
716,18035,2019,11.1
717,18037,2019,9.5
718,18039,2019,8.7
719,18041,2019,10.6
720,18043,2019,9.7
721,18045,2019,8.4
722,18047,2019,10.6
723,18049,2019,9.6
724,18051,2019,8.7
725,18053,2019,9.9
726,18055,2019,10
727,18057,2019,9.2
728,18059,2019,9.5
729,18061,2019,9.5
730,18063,2019,8.8
731,18065,2019,10.6
732,18067,2019,9.3
733,18069,2019,9.6
734,18071,2019,9.4
735,18073,2019,8.7
736,18075,2019,10.5
737,18077,2019,10.5
738,18079,2019,9.9
739,18081,2019,9
740,18083,2019,10.3
741,18085,2019,9.4
742,18087,2019,9.4
743,18089,2019,7.5
744,18091,2019,7.8
745,18093,2019,9.4
746,18095,2019,10.3
747,18097,2019,8.5
748,18099,2019,9.1
749,18101,2019,10.1
750,18103,2019,9.3
751,18105,2019,9.4
752,18107,2019,9.2
753,18109,2019,9.1
754,18111,2019,8.6
755,18113,2019,9.5
756,18115,2019,11.2
757,18117,2019,9.4
758,18119,2019,9.8
759,18121,2019,9
760,18123,2019,8.4
761,18125,2019,9.5
762,18127,2019,7.9
763,18129,2019,7.3
764,18131,2019,9.3
765,18133,2019,9.4
766,18135,2019,10.4
767,18137,2019,10.3
768,18139,2019,10.2
769,18141,2019,8.3
770,18143,2019,10
771,18145,2019,9.6
772,18147,2019,8.1
773,18149,2019,8.8
774,18151,2019,9.8
775,18153,2019,10.2
776,18155,2019,11.5
777,18157,2019,8.1
778,18159,2019,9.8
779,18161,2019,10.5
780,18163,2019,8
781,18165,2019,8.4
782,18167,2019,9.5
783,18169,2019,9.4
784,18171,2019,7.7
785,18173,2019,8.2
786,18175,2019,9.5
787,18177,2019,10.2
788,18179,2019,10
789,18181,2019,8.5
790,18183,2019,9.9
791,19001,2019,1.9
792,19003,2019,1.3
793,19005,2019,3.3
794,19007,2019,2.4
795,19009,2019,3.3
796,19011,2019,2.1
797,19013,2019,3.1
798,19015,2019,2.6
799,19017,2019,3.6
800,19019,2019,2.7
801,19021,2019,2.7
802,19023,2019,3.5
803,19025,2019,3.2
804,19027,2019,4.2
805,19029,2019,2.2
806,19031,2019,4.1
807,19033,2019,3.6
808,19035,2019,1.2
809,19037,2019,3.4
810,19039,2019,1.4
811,19041,2019,2.1
812,19043,2019,3.5
813,19045,2019,5.6
814,19047,2019,3.3
815,19049,2019,1.7
816,19051,2019,2
817,19053,2019,1.2
818,19055,2019,3.8
819,19057,2019,3
820,19059,2019,1.7
821,19061,2019,3.8
822,19063,2019,2.2
823,19065,2019,3.5
824,19067,2019,3.4
825,19069,2019,4
826,19071,2019,0.7
827,19073,2019,3.3
828,19075,2019,3.1
829,19077,2019,2.7
830,19079,2019,3
831,19081,2019,3.5
832,19083,2019,3.5
833,19085,2019,1.3
834,19087,2019,2.1
835,19089,2019,3.7
836,19091,2019,2.4
837,19093,2019,2.6
838,19095,2019,2.9
839,19097,2019,5.2
840,19099,2019,2.5
841,19101,2019,1.6
842,19103,2019,3.1
843,19105,2019,5.1
844,19107,2019,2.2
845,19109,2019,3.2
846,19111,2019,1.8
847,19113,2019,3.3
848,19115,2019,3.2
849,19117,2019,2
850,19119,2019,-0.9
851,19121,2019,1.2
852,19123,2019,2.6
853,19125,2019,2.2
854,19127,2019,2.6
855,19129,2019,0.8
856,19131,2019,3.5
857,19133,2019,1
858,19135,2019,2.3
859,19137,2019,1.5
860,19139,2019,3.4
861,19141,2019,0.8
862,19143,2019,0.2
863,19145,2019,1.2
864,19147,2019,3.4
865,19149,2019,-0.6
866,19151,2019,3.1
867,19153,2019,1.5
868,19155,2019,1.4
869,19157,2019,2.6
870,19159,2019,1
871,19161,2019,3.4
872,19163,2019,4.7
873,19165,2019,2.8
874,19167,2019,-0.7
875,19169,2019,2.6
876,19171,2019,2.5
877,19173,2019,1.1
878,19175,2019,1.3
879,19177,2019,0.6
880,19179,2019,1.9
881,19181,2019,1.3
882,19183,2019,2.2
883,19185,2019,1.9
884,19187,2019,2.5
885,19189,2019,3.6
886,19191,2019,4.2
887,19193,2019,0.4
888,19195,2019,3.4
889,19197,2019,3.1
890,20001,2019,2.4
891,20003,2019,1.8
892,20005,2019,0.6
893,20007,2019,1
894,20009,2019,-1.8
895,20011,2019,1.8
896,20013,2019,0.2
897,20015,2019,1.5
898,20017,2019,1.3
899,20019,2019,1.5
900,20021,2019,2.3
901,20023,2019,-3.3
902,20025,2019,-0.2
903,20027,2019,1.3
904,20029,2019,0.3
905,20031,2019,1.6
906,20033,2019,0.8
907,20035,2019,1.4
908,20037,2019,2.3
909,20039,2019,-1.1
910,20041,2019,1.7
911,20043,2019,-0.7
912,20045,2019,0.3
913,20047,2019,-0.8
914,20049,2019,1.6
915,20051,2019,-2.3
916,20053,2019,0.2
917,20055,2019,-2.3
918,20057,2019,-0.7
919,20059,2019,1.4
920,20061,2019,1.9
921,20063,2019,-3.6
922,20065,2019,-1.9
923,20067,2019,-1.5
924,20069,2019,-1.9
925,20071,2019,-6.9
926,20073,2019,1.9
927,20075,2019,-3.5
928,20077,2019,1.1
929,20079,2019,0.3
930,20081,2019,-1.5
931,20083,2019,-1.2
932,20085,2019,1.1
933,20087,2019,0.7
934,20089,2019,0.2
935,20091,2019,-0.3
936,20093,2019,-2.5
937,20095,2019,0.2
938,20097,2019,0
939,20099,2019,1.6
940,20101,2019,-2.9
941,20103,2019,-0.2
942,20105,2019,-0.1
943,20107,2019,1.5
944,20109,2019,-5.8
945,20111,2019,1.7
946,20113,2019,0.4
947,20115,2019,1.1
948,20117,2019,0.7
949,20119,2019,-1.4
950,20121,2019,0.6
951,20123,2019,-0.5
952,20125,2019,1.3
953,20127,2019,2.2
954,20129,2019,-1.8
955,20131,2019,0.8
956,20133,2019,2.2
957,20135,2019,-1.8
958,20137,2019,-1.4
959,20139,2019,1.8
960,20141,2019,-1.2
961,20143,2019,1.1
962,20145,2019,-1.5
963,20147,2019,-1.2
964,20149,2019,1.5
965,20151,2019,0.1
966,20153,2019,-2.5
967,20155,2019,-0.2
968,20157,2019,0.4
969,20159,2019,-0.3
970,20161,2019,1.6
971,20163,2019,-1.7
972,20165,2019,-2.1
973,20167,2019,-1.5
974,20169,2019,0.9
975,20171,2019,-3.9
976,20173,2019,0.6
977,20175,2019,-1.5
978,20177,2019,0.8
979,20179,2019,-2.3
980,20181,2019,-5
981,20183,2019,-0.9
982,20185,2019,-1.2
983,20187,2019,-2.2
984,20189,2019,-1.4
985,20191,2019,1.3
986,20193,2019,-3.8
987,20195,2019,-2.5
988,20197,2019,1.8
989,20199,2019,-7.9
990,20201,2019,0.3
991,20203,2019,-5.5
992,20205,2019,2.2
993,20207,2019,2.5
994,20209,2019,-0.4
995,21001,2019,10.7
996,21003,2019,7.6
997,21005,2019,10.4
998,21007,2019,5.6
999,21009,2019,7.9
1000,21011,2019,10.8
1001,21013,2019,9.4
1002,21015,2019,11.3
1003,21017,2019,10.9
1004,21019,2019,11.9
1005,21021,2019,10.1
1006,21023,2019,10.9
1007,21025,2019,11
1008,21027,2019,8.6
1009,21029,2019,9.7
1010,21031,2019,8.1
1011,21033,2019,6.3
1012,21035,2019,7.1
1013,21037,2019,11
1014,21039,2019,5.8
1015,21041,2019,11.3
1016,21043,2019,11.3
1017,21045,2019,10.7
1018,21047,2019,7.3
1019,21049,2019,11.1
1020,21051,2019,10.5
1021,21053,2019,11.2
1022,21055,2019,6.7
1023,21057,2019,10.3
1024,21059,2019,7.8
1025,21061,2019,8.6
1026,21063,2019,11.1
1027,21065,2019,11
1028,21067,2019,10.5
1029,21069,2019,10.6
1030,21071,2019,11.4
1031,21073,2019,10.9
1032,21075,2019,7
1033,21077,2019,11.5
1034,21079,2019,10.3
1035,21081,2019,11.1
1036,21083,2019,6.3
1037,21085,2019,8.8
1038,21087,2019,9.8
1039,21089,2019,11.6
1040,21091,2019,8
1041,21093,2019,9.4
1042,21095,2019,9.5
1043,21097,2019,10.8
1044,21099,2019,9
