,fips,pollutant,year,pred_wght,state_abbr,lat,lon,"ifelse(pred_wght > 15, 1, 0)",fips_2,n,nn,num_allerg,POP_ESTIMATE_2018,allergist_rate,allergist_rate_2
1,1001,pm25,2015,7.6767,AL,32.50038344,-86.49418631,0,1001,NA,NA,0,55601,0,0
2,1003,pm25,2015,7.37188,AL,30.54892346,-87.76246613,0,1003,NA,NA,0,218022,0,0
3,1005,pm25,2015,7.23861,AL,31.84403717,-85.3099291,0,1005,NA,NA,0,24881,0,0
4,1007,pm25,2015,7.92795,AL,33.03091751,-87.12765522,0,1007,NA,NA,0,22400,0,0
5,1009,pm25,2015,7.98758,AL,33.95524589,-86.59140174,0,1009,NA,NA,0,57840,0,0
6,1011,pm25,2015,7.31238,AL,32.11632632,-85.70120168,0,1011,NA,NA,0,10138,0,0
7,1013,pm25,2015,7.64891,AL,31.77353843,-86.65351134,0,1013,NA,NA,0,19680,0,0
8,1015,pm25,2015,8.8283,AL,33.72545923,-85.81940412,0,1015,1,1,1,114277,0.875066724,1.750133448
9,1017,pm25,2015,8.45545,AL,32.86043735,-85.26651931,0,1017,NA,NA,0,33615,0,0
10,1019,pm25,2015,7.92835,AL,34.17933282,-85.62919749,0,1019,1,1,1,26032,3.841425937,7.682851875
11,1021,pm25,2015,8.18459,AL,32.87754588,-86.68744317,0,1021,NA,NA,0,44153,0,0
12,1023,pm25,2015,7.19829,AL,32.0165602,-88.26409869,0,1023,NA,NA,0,12841,0,0
13,1025,pm25,2015,7.13519,AL,31.68568557,-87.81562899,0,1025,NA,NA,0,23920,0,0
14,1027,pm25,2015,8.04679,AL,33.27241186,-85.82016344,0,1027,NA,NA,0,13275,0,0
15,1029,pm25,2015,8.00337,AL,33.62977257,-85.49430212,0,1029,NA,NA,0,14987,0,0
16,1031,pm25,2015,7.13599,AL,31.35443283,-85.90473876,0,1031,NA,NA,0,51909,0,0
17,1033,pm25,2015,8.58319,AL,34.72338674,-87.68514924,0,1033,NA,NA,0,54762,0,0
18,1035,pm25,2015,7.38217,AL,31.41867421,-86.9964653,0,1035,NA,NA,0,12277,0,0
19,1037,pm25,2015,7.70029,AL,32.97593078,-86.15504708,0,1037,NA,NA,0,10715,0,0
20,1039,pm25,2015,7.44777,AL,31.28244765,-86.41099018,0,1039,NA,NA,0,36986,0,0
21,1041,pm25,2015,7.0179,AL,31.74348734,-86.29710779,0,1041,NA,NA,0,13824,0,0
22,1043,pm25,2015,8.31657,AL,34.16236232,-86.83181695,0,1043,NA,NA,0,83442,0,0
23,1045,pm25,2015,6.90698,AL,31.38334724,-85.64125914,0,1045,1,1,1,48956,2.042650543,4.085301087
24,1047,pm25,2015,8.29577,AL,32.40881764,-87.03493542,0,1047,NA,NA,0,38310,0,0
25,1049,pm25,2015,8.12536,AL,34.45511242,-85.81703654,0,1049,NA,NA,0,71385,0,0
26,1051,pm25,2015,7.46606,AL,32.55965091,-86.22561908,0,1051,NA,NA,0,81887,0,0
27,1053,pm25,2015,7.77668,AL,31.08873953,-87.28200312,0,1053,NA,NA,0,36748,0,0
28,1055,pm25,2015,8.96051,AL,34.01369355,-86.02540754,0,1055,1,1,1,102501,0.975600238,1.951200476
29,1057,pm25,2015,7.47898,AL,33.72642219,-87.77036895,0,1057,NA,NA,0,16433,0,0
30,1059,pm25,2015,7.93747,AL,34.46047861,-87.79357194,0,1059,NA,NA,0,31363,0,0
31,1061,pm25,2015,7.22343,AL,31.09426334,-85.78883727,0,1061,1,1,1,26314,3.800258418,7.600516835
32,1063,pm25,2015,7.85428,AL,32.83050659,-87.92401299,0,1063,NA,NA,0,8233,0,0
33,1065,pm25,2015,8.17504,AL,32.77580787,-87.62609056,0,1065,NA,NA,0,14726,0,0
34,1067,pm25,2015,6.85296,AL,31.47859371,-85.26877504,0,1067,1,1,1,17209,5.810912894,11.62182579
35,1069,pm25,2015,7.2171,AL,31.20454946,-85.39123391,0,1069,1,1,1,104722,0.954909188,1.909818376
36,1071,pm25,2015,7.94886,AL,34.73198551,-85.93855456,0,1071,NA,NA,0,51736,0,0
37,1073,pm25,2015,9.15444,AL,33.51860138,-86.81461985,0,1073,1,1,1,659300,0.15167602,0.30335204
38,1075,pm25,2015,7.12997,AL,33.7627716,-88.10966539,0,1075,NA,NA,0,13844,0,0
39,1077,pm25,2015,8.21006,AL,34.86617979,-87.60875269,0,1077,NA,NA,0,92387,0,0
40,1079,pm25,2015,8.08788,AL,34.54367921,-87.2724335,0,1079,NA,NA,0,32957,0,0
41,1081,pm25,2015,8.04843,AL,32.5880936,-85.34588891,0,1081,NA,NA,0,163941,0,0
42,1083,pm25,2015,8.1599,AL,34.8156129,-86.9389823,0,1083,NA,NA,0,96174,0,0
43,1085,pm25,2015,7.57887,AL,32.16241338,-86.61871051,0,1085,NA,NA,0,9974,0,0
