name,fips,rate,pct_pop_Fixed_25_Mbps_3_Mbps
Conway County,5029,3,100.00%
Santa Clara County,6085,3,100.00%
Santa Cruz County,6087,3,100.00%
Broomfield County,8014,3,100.00%
Brevard County,12009,3,100.00%
Clay County,12019,3,100.00%
Duval County,12031,3,100.00%
Indian River County,12061,3,100.00%
Lake County,12069,3,100.00%
Martin County,12085,3,100.00%
Orange County,12095,3,100.00%
Osceola County,12097,3,100.00%
Seminole County,12117,3,100.00%
St. Johns County,12109,3,100.00%
St. Lucie County,12111,3,100.00%
Volusia County,12127,3,100.00%
Candler County,13043,3,100.00%
Lincoln County,13181,3,100.00%
Whitfield County,13313,3,100.00%
Wilkes County,13317,3,100.00%
Grundy County,17063,3,100.00%
Cerro Gordo County,19033,3,100.00%
Chickasaw County,19037,3,100.00%
Emmet County,19063,3,100.00%
Floyd County,19067,3,100.00%
Franklin County,19069,3,100.00%
Howard County,19089,3,100.00%
Mitchell County,19131,3,100.00%
Winnebago County,19189,3,100.00%
Worth County,19195,3,100.00%
Douglas County,20045,3,100.00%
Grant County,20067,3,100.00%
Hamilton County,20075,3,100.00%
Johnson County,20091,3,100.00%
Kearny County,20093,3,100.00%
Leavenworth County,20103,3,100.00%
Morton County,20129,3,100.00%
Osage County,20139,3,100.00%
Scott County,20171,3,100.00%
Shawnee County,20177,3,100.00%
Stanton County,20187,3,100.00%
Wyandotte County,20209,3,100.00%
Elliott County,21063,3,100.00%
Jackson County,21109,3,100.00%
Lawrence County,21127,3,100.00%
McCreary County,21147,3,100.00%
Menifee County,21165,3,100.00%
Morgan County,21175,3,100.00%
Owsley County,21189,3,100.00%
Wolfe County,21237,3,100.00%
East Baton Rouge Parish,22033,3,100.00%
St. John the Baptist Parish,22095,3,100.00%
Ingham County,26065,3,100.00%
Blue Earth County,27013,3,100.00%
Dodge County,27039,3,100.00%
Faribault County,27043,3,100.00%
Freeborn County,27047,3,100.00%
Goodhue County,27049,3,100.00%
Jackson County,27063,3,100.00%
Le Sueur County,27079,3,100.00%
Martin County,27091,3,100.00%
Mower County,27099,3,100.00%
Olmsted County,27109,3,100.00%
Red Lake County,27125,3,100.00%
Rice County,27131,3,100.00%
Steele County,27147,3,100.00%
Wabasha County,27157,3,100.00%
Waseca County,27161,3,100.00%
Alcorn County,28003,3,100.00%
Prentiss County,28117,3,100.00%
Cass County,29037,3,100.00%
Clay County,29047,3,100.00%
Cooper County,29053,3,100.00%
Jackson County,29095,3,100.00%
Morris County,34027,3,100.00%
Passaic County,34031,3,100.00%
Sussex County,34037,3,100.00%
Kings County,36047,3,100.00%
Nassau County,36059,3,100.00%
Richmond County,36085,3,100.00%
Rockland County,36087,3,100.00%
Suffolk County,36103,3,100.00%
Westchester County,36119,3,100.00%
Forsyth County,37067,3,100.00%
Madison County,37115,3,100.00%
Mecklenburg County,37119,3,100.00%
Dickey County,38021,3,100.00%
Emmons County,38029,3,100.00%
Foster County,38031,3,100.00%
Hettinger County,38041,3,100.00%
LaMoure County,38045,3,100.00%
Logan County,38047,3,100.00%
McIntosh County,38051,3,100.00%
Mercer County,38057,3,100.00%
Nelson County,38063,3,100.00%
Pembina County,38067,3,100.00%
Northampton County,42095,3,100.00%
Bristol County,44001,3,100.00%
Brule County,46015,3,100.00%
Faulk County,46049,3,100.00%
Hyde County,46069,3,100.00%
Potter County,46107,3,100.00%
Sully County,NANA,3,100.00%
